Invoice Number,Customer Name,Invoice Date,Due Date,Amount Owed ($),Payment Status
INV1000,Customer 13,2024-04-16,2024-05-16,21268.08,Overdue
INV1001,Customer 3,2024-04-03,2024-05-03,27041.27,Overdue
INV1002,Customer 12,2024-04-01,2024-05-01,2050.35,Paid
INV1003,Customer 5,2024-04-08,2024-05-23,12213.35,Overdue
INV1004,Customer 17,2024-04-07,2024-05-07,45399.15,Paid
INV1005,Customer 8,2024-04-03,2024-06-02,30670.26,Paid
INV1006,Customer 1,2024-04-19,2024-05-19,16952.38,Overdue
INV1007,Customer 13,2024-04-10,2024-05-10,2099.69,Overdue
INV1008,Customer 20,2024-04-09,2024-05-09,8338.99,Paid
INV1009,Customer 14,2024-04-19,2024-06-03,17904.46,Overdue
INV1010,Customer 9,2024-04-28,2024-05-28,32030.02,Overdue
INV1011,Customer 2,2024-04-02,2024-05-17,3494.14,Overdue
INV1012,Customer 9,2024-04-08,2024-06-07,17994.25,Paid
INV1013,Customer 2,2024-04-23,2024-06-22,4214.66,Overdue
INV1014,Customer 2,2024-04-02,2024-05-02,26393.39,Paid
INV1015,Customer 11,2024-04-16,2024-05-31,1521.49,Overdue
INV1016,Customer 7,2024-04-01,2024-05-01,26126.4,Paid
INV1017,Customer 19,2024-04-25,2024-06-24,9402.69,Overdue
INV1018,Customer 14,2024-04-01,2024-05-16,10957.86,Overdue
INV1019,Customer 14,2024-04-14,2024-06-13,27286.44,Overdue
INV1020,Customer 13,2024-04-05,2024-05-20,37060.94,Overdue
INV1021,Customer 20,2024-04-19,2024-06-03,35494.52,Paid
INV1022,Customer 6,2024-04-10,2024-05-10,46441.78,Paid
INV1023,Customer 2,2024-04-09,2024-06-08,38395.56,Overdue
INV1024,Customer 15,2024-04-18,2024-06-17,49779.64,Overdue
INV1025,Customer 13,2024-04-06,2024-06-05,48553.38,Overdue
INV1026,Customer 10,2024-04-14,2024-05-29,31859.66,Overdue
INV1027,Customer 2,2024-04-09,2024-05-24,15391.24,Paid
INV1028,Customer 4,2024-04-09,2024-05-24,32893.31,Overdue
INV1029,Customer 4,2024-04-05,2024-05-20,4825.34,Overdue
INV1030,Customer 10,2024-04-18,2024-06-02,23021.01,Overdue
INV1031,Customer 17,2024-04-01,2024-05-31,25153.24,Paid
INV1032,Customer 18,2024-04-23,2024-06-22,48992.92,Paid
INV1033,Customer 6,2024-04-02,2024-05-17,16067.8,Paid
INV1034,Customer 20,2024-04-10,2024-06-09,37936.45,Paid
INV1035,Customer 1,2024-04-27,2024-06-11,14959.75,Paid
INV1036,Customer 14,2024-04-04,2024-05-04,35986.85,Paid
INV1037,Customer 20,2024-04-02,2024-05-17,19305.87,Overdue
INV1038,Customer 13,2024-04-17,2024-06-01,22883.38,Overdue
INV1039,Customer 6,2024-04-27,2024-06-26,1597.83,Paid
INV1040,Customer 13,2024-04-10,2024-05-25,47024.61,Overdue
INV1041,Customer 7,2024-04-11,2024-05-11,8933.35,Overdue
INV1042,Customer 18,2024-04-01,2024-05-31,26003.37,Overdue
INV1043,Customer 11,2024-04-28,2024-06-27,20230.45,Overdue
INV1044,Customer 15,2024-04-08,2024-05-23,6288.54,Overdue
INV1045,Customer 4,2024-04-27,2024-05-27,12755.32,Overdue
INV1046,Customer 8,2024-04-18,2024-06-02,43302.64,Overdue
INV1047,Customer 2,2024-04-04,2024-05-04,15695.01,Paid
INV1048,Customer 15,2024-04-27,2024-05-27,38803.84,Paid
INV1049,Customer 13,2024-04-11,2024-05-26,33532.98,Overdue
INV1050,Customer 15,2024-04-01,2024-05-01,7483.12,Overdue
INV1051,Customer 10,2024-04-10,2024-05-25,13841.37,Overdue
INV1052,Customer 19,2024-04-24,2024-05-24,14017.27,Overdue
INV1053,Customer 20,2024-04-07,2024-05-07,8915.2,Paid
INV1054,Customer 17,2024-04-24,2024-05-24,24491.55,Paid
INV1055,Customer 14,2024-04-05,2024-05-20,45400.53,Paid
INV1056,Customer 3,2024-04-13,2024-05-28,26864.82,Overdue
INV1057,Customer 2,2024-04-04,2024-05-19,12398.84,Overdue
INV1058,Customer 14,2024-04-28,2024-06-27,21880.26,Overdue
INV1059,Customer 17,2024-04-17,2024-06-16,3411.63,Paid
INV1060,Customer 14,2024-04-25,2024-05-25,30011.27,Overdue
INV1061,Customer 16,2024-04-13,2024-05-28,13188.44,Overdue
INV1062,Customer 15,2024-04-13,2024-05-28,2792.04,Overdue
INV1063,Customer 13,2024-04-27,2024-05-27,34288.47,Overdue
INV1064,Customer 5,2024-04-24,2024-05-24,39335.66,Overdue
INV1065,Customer 1,2024-04-07,2024-05-07,22531.73,Paid
