Invoice Number,Customer Name,Invoice Date,Due Date,Amount Owed ($),Payment Status
INV1000,Customer 13,2024-02-03,2024-03-04,21268.08,Overdue
INV1001,Customer 3,2024-02-08,2024-03-09,27041.27,Overdue
INV1002,Customer 12,2024-02-28,2024-04-28,2050.35,Paid
INV1003,Customer 5,2024-02-19,2024-03-20,12213.35,Overdue
INV1004,Customer 17,2024-02-28,2024-04-13,45399.15,Paid
INV1005,Customer 8,2024-02-12,2024-04-12,30670.26,Paid
INV1006,Customer 1,2024-02-25,2024-04-25,16952.38,Overdue
INV1007,Customer 13,2024-02-03,2024-03-04,2099.69,Overdue
INV1008,Customer 20,2024-02-27,2024-04-27,8338.99,Paid
INV1009,Customer 14,2024-02-12,2024-04-12,17904.46,Overdue
INV1010,Customer 9,2024-02-18,2024-04-18,32030.02,Overdue
INV1011,Customer 2,2024-02-01,2024-03-02,3494.14,Overdue
INV1012,Customer 9,2024-02-19,2024-03-20,17994.25,Paid
INV1013,Customer 2,2024-02-15,2024-03-31,4214.66,Overdue
INV1014,Customer 2,2024-02-22,2024-04-22,26393.39,Paid
INV1015,Customer 11,2024-02-18,2024-03-19,1521.49,Overdue
INV1016,Customer 7,2024-02-19,2024-04-19,26126.4,Paid
INV1017,Customer 19,2024-02-28,2024-04-28,9402.69,Overdue
INV1018,Customer 14,2024-02-21,2024-04-06,10957.86,Overdue
INV1019,Customer 14,2024-02-09,2024-04-09,27286.44,Overdue
INV1020,Customer 13,2024-02-04,2024-03-05,37060.94,Overdue
INV1021,Customer 20,2024-02-05,2024-04-05,35494.52,Paid
INV1022,Customer 6,2024-02-07,2024-04-07,46441.78,Paid
INV1023,Customer 2,2024-02-11,2024-03-12,38395.56,Overdue
INV1024,Customer 15,2024-02-18,2024-04-03,49779.64,Overdue
INV1025,Customer 13,2024-02-21,2024-04-06,48553.38,Overdue
INV1026,Customer 10,2024-02-07,2024-04-07,31859.66,Overdue
INV1027,Customer 2,2024-02-01,2024-03-02,15391.24,Paid
INV1028,Customer 4,2024-02-09,2024-03-25,32893.31,Overdue
INV1029,Customer 4,2024-02-12,2024-04-12,4825.34,Overdue
INV1030,Customer 10,2024-02-13,2024-03-14,23021.01,Overdue
INV1031,Customer 17,2024-02-22,2024-03-23,25153.24,Paid
INV1032,Customer 18,2024-02-13,2024-03-29,48992.92,Paid
INV1033,Customer 6,2024-02-08,2024-04-08,16067.8,Paid
INV1034,Customer 20,2024-02-03,2024-03-04,37936.45,Paid
INV1035,Customer 1,2024-02-11,2024-04-11,14959.75,Paid
INV1036,Customer 14,2024-02-23,2024-04-08,35986.85,Paid
INV1037,Customer 20,2024-02-24,2024-03-25,19305.87,Overdue
INV1038,Customer 13,2024-02-17,2024-04-02,22883.38,Overdue
INV1039,Customer 6,2024-02-26,2024-04-26,1597.83,Paid
INV1040,Customer 13,2024-02-02,2024-03-03,47024.61,Overdue
INV1041,Customer 7,2024-02-11,2024-03-12,8933.35,Overdue
INV1042,Customer 18,2024-02-23,2024-04-23,26003.37,Overdue
INV1043,Customer 11,2024-02-23,2024-04-23,20230.45,Overdue
INV1044,Customer 15,2024-02-02,2024-03-18,6288.54,Overdue
INV1045,Customer 4,2024-02-08,2024-04-08,12755.32,Overdue
INV1046,Customer 8,2024-02-25,2024-04-10,43302.64,Overdue
INV1047,Customer 2,2024-02-24,2024-04-24,15695.01,Paid
INV1048,Customer 15,2024-02-18,2024-04-18,38803.84,Paid
INV1049,Customer 13,2024-02-28,2024-04-28,33532.98,Overdue
INV1050,Customer 15,2024-02-02,2024-03-18,7483.12,Overdue
INV1051,Customer 10,2024-02-20,2024-04-05,13841.37,Overdue
INV1052,Customer 19,2024-02-06,2024-03-07,14017.27,Overdue
INV1053,Customer 20,2024-02-23,2024-03-24,8915.2,Paid
INV1054,Customer 17,2024-02-08,2024-04-08,24491.55,Paid
INV1055,Customer 14,2024-02-23,2024-03-24,45400.53,Paid
INV1056,Customer 3,2024-02-22,2024-04-07,26864.82,Overdue
INV1057,Customer 2,2024-02-13,2024-03-29,12398.84,Overdue
INV1058,Customer 14,2024-02-09,2024-03-10,21880.26,Overdue
INV1059,Customer 17,2024-02-08,2024-03-24,3411.63,Paid
INV1060,Customer 14,2024-02-25,2024-04-25,30011.27,Overdue
INV1061,Customer 16,2024-02-22,2024-04-22,13188.44,Overdue
INV1062,Customer 15,2024-02-19,2024-03-20,2792.04,Overdue
INV1063,Customer 13,2024-02-27,2024-04-12,34288.47,Overdue
INV1064,Customer 5,2024-02-25,2024-03-26,39335.66,Overdue
INV1065,Customer 1,2024-02-27,2024-03-28,22531.73,Paid
INV1066,Customer 17,2024-02-26,2024-03-27,29721.17,Overdue
INV1067,Customer 14,2024-02-16,2024-04-01,6520.73,Paid
INV1068,Customer 14,2024-02-14,2024-04-14,31715.13,Paid
INV1069,Customer 1,2024-02-27,2024-04-27,5038.87,Unpaid
INV1070,Customer 4,2024-02-27,2024-04-12,3226.76,Overdue
INV1071,Customer 12,2024-02-18,2024-03-19,25598.98,Overdue
INV1072,Customer 5,2024-02-20,2024-03-21,40896.23,Overdue
INV1073,Customer 13,2024-02-07,2024-03-23,42620.44,Overdue
INV1074,Customer 18,2024-02-24,2024-04-24,44791.13,Paid
INV1075,Customer 2,2024-02-18,2024-04-18,31371.5,Paid
INV1076,Customer 18,2024-02-16,2024-03-17,16835.73,Paid
INV1077,Customer 19,2024-02-21,2024-04-06,14814.96,Unpaid
INV1078,Customer 6,2024-02-17,2024-04-17,49269.7,Paid
INV1079,Customer 11,2024-02-18,2024-04-18,500.98,Overdue
INV1080,Customer 8,2024-02-27,2024-03-28,13473.56,Overdue
INV1081,Customer 9,2024-02-13,2024-04-13,25719.69,Overdue
INV1082,Customer 16,2024-02-24,2024-03-25,26325.21,Overdue
INV1083,Customer 20,2024-02-03,2024-03-04,15960.36,Overdue
INV1084,Customer 7,2024-02-06,2024-03-22,26092.09,Paid
INV1085,Customer 10,2024-02-23,2024-04-08,6285.33,Unpaid
INV1086,Customer 13,2024-02-15,2024-03-31,1845.79,Overdue
INV1087,Customer 9,2024-02-18,2024-03-19,2978.68,Overdue
INV1088,Customer 9,2024-02-11,2024-04-11,5746.95,Unpaid
INV1089,Customer 9,2024-02-11,2024-03-12,31303.64,Overdue
INV1090,Customer 14,2024-02-17,2024-04-17,12262.45,Paid
INV1091,Customer 7,2024-02-11,2024-03-27,37223.92,Paid
INV1092,Customer 5,2024-02-23,2024-03-24,44378.36,Overdue
INV1093,Customer 6,2024-02-12,2024-03-28,31451.64,Overdue
INV1094,Customer 9,2024-02-18,2024-04-18,22782.34,Overdue
INV1095,Customer 4,2024-02-12,2024-03-28,9125.0,Overdue
INV1096,Customer 8,2024-02-14,2024-03-30,29730.77,Overdue
INV1097,Customer 18,2024-02-22,2024-04-22,43765.4,Overdue
INV1098,Customer 7,2024-02-09,2024-03-10,4864.37,Paid
INV1099,Customer 5,2024-02-10,2024-03-26,43867.64,Overdue
