Order Date,Order ID,Product ID,Product Name,Customer ID,Order Value,Quantity,Shipping Method,Order Status
10/01/2023,ORD11363,P1001,Smartphone,CUST1871,1593.87,5,Expedited,Shipped
2024-02-11,ORD90859,P1006,Gaming Console,CUST1825,1655.88,3,Standard,Delivered
01/06/2021,ORD79402,P1006,Gaming Console,CUST7862,1846.76,5,Standard,Pending
06-09-2020,ORD88323,P1005,Wireless Earbuds,CUST3239,1003.28,1,Standard,Shipped
10/13/2024,ORD48179,P1003,Tablet,CUST1759,145.05,4,Standard,Cancelled
2023-02-22,ORD59031,P1008,Bluetooth Speaker,CUST3780,1801.99,1,Expedited,Shipped
05-21-2022,ORD80185,P1005,Wireless Earbuds,CUST7168,435.9,5,Expedited,Pending
2024-08-03,ORD58553,P1008,Bluetooth Speaker,CUST4731,1335.57,1,Overnight,Pending
2025-06-28,ORD45950,P1007,4K TV,CUST7023,703.88,5,Overnight,Shipped
2022-05-23,ORD27378,P1006,Gaming Console,CUST8412,1845.87,5,Overnight,Shipped
08/01/2020,ORD90677,P1006,Gaming Console,CUST3693,241.32,5,Expedited,Cancelled
2025-12-18,ORD66721,P1002,Laptop,CUST2667,601.29,1,Expedited,Delivered
2025-12-21,ORD86974,P1002,Laptop,CUST8738,267.1,4,Standard,Delivered
2022-11-25,ORD30293,P1008,Bluetooth Speaker,CUST3428,454.19,4,Standard,Cancelled
05/26/2024,ORD78352,P1005,Wireless Earbuds,CUST9752,1486.57,2,Standard,Cancelled
2022-03-23,ORD58931,P1005,Wireless Earbuds,CUST9593,1301.57,1,Overnight,Cancelled
06-22-2021,ORD29350,P1008,Bluetooth Speaker,CUST4630,249.81,3,Standard,Pending
2023-02-02,ORD97346,P1006,Gaming Console,CUST6282,1044.43,4,Expedited,Pending
2022-04-06,ORD39887,P1010,Mechanical Keyboard,CUST5098,445.33,2,Standard,Delivered
03/22/2022,ORD88865,P1006,Gaming Console,CUST8876,42.49,2,Expedited,Cancelled
2021-09-30,ORD17115,P1007,4K TV,CUST1050,1987.99,5,Overnight,Delivered
12/03/2022,ORD51297,P1008,Bluetooth Speaker,CUST8233,1211.71,5,Standard,Delivered
2020-07-20,ORD87386,P1003,Tablet,CUST9417,1637.03,2,Expedited,Cancelled
10-01-2021,ORD53163,P1009,External Hard Drive,CUST8749,877.13,3,Expedited,Shipped
03/02/2023,ORD62821,P1004,Smartwatch,CUST7497,1271.41,3,Standard,Cancelled
2021-11-07,ORD31732,P1008,Bluetooth Speaker,CUST7207,1859.26,1,Overnight,Shipped
2020-09-05,ORD39778,P1002,Laptop,CUST7442,474.84,5,Expedited,Cancelled
2024-04-03,ORD88384,P1009,External Hard Drive,CUST4057,705.93,3,Overnight,Shipped
06/14/2025,ORD54627,P1004,Smartwatch,CUST8418,1174.6,2,Standard,Delivered
2023-01-14,ORD56517,P1003,Tablet,CUST5076,1882.52,1,Expedited,Cancelled
04/23/2025,ORD55389,P1008,Bluetooth Speaker,CUST1564,262.72,3,Expedited,Pending
2022-09-08,ORD71359,P1007,4K TV,CUST5098,1571.42,1,Overnight,Pending
06-12-2023,ORD92497,P1010,Mechanical Keyboard,CUST6613,1534.73,4,Expedited,Shipped
07/06/2021,ORD15771,P1003,Tablet,CUST3754,1082.64,5,Standard,Cancelled
2022-10-30,ORD83226,P1002,Laptop,CUST4068,77.3,2,Overnight,Pending
2021-01-04,ORD89115,P1004,Smartwatch,CUST6038,1725.84,5,Expedited,Shipped
2020-01-15,ORD23020,P1010,Mechanical Keyboard,CUST3293,36.95,3,Expedited,Delivered
04-09-2023,ORD74232,P1002,Laptop,CUST6621,1141.47,5,Expedited,Shipped
11/30/2021,ORD73517,P1004,Smartwatch,CUST3648,854.11,3,Expedited,Delivered
05-17-2024,ORD36372,P1004,Smartwatch,CUST1447,915.46,2,Expedited,Shipped
06-16-2022,ORD97927,P1010,Mechanical Keyboard,CUST6629,1035.03,3,Standard,Shipped
2025-08-22,ORD47882,P1008,Bluetooth Speaker,CUST5657,1854.4,4,Overnight,Cancelled
2025-09-26,ORD18238,P1009,External Hard Drive,CUST2486,1543.17,4,Overnight,Pending
04/20/2024,ORD13004,P1001,Smartphone,CUST7128,768.09,1,Overnight,Cancelled
11/16/2023,ORD63556,P1003,Tablet,CUST6207,610.22,3,Expedited,Shipped
2022-11-22,ORD59915,P1009,External Hard Drive,CUST2998,1538.13,1,Expedited,Cancelled
2025-07-10,ORD85989,P1009,External Hard Drive,CUST8571,349.99,5,Expedited,Cancelled
03/02/2021,ORD75289,P1005,Wireless Earbuds,CUST1264,1298.22,3,Overnight,Pending
02-01-2023,ORD25287,P1002,Laptop,CUST8217,865.0,3,Standard,Shipped
03-09-2020,ORD62613,P1003,Tablet,CUST9301,1906.8,2,Expedited,Shipped
2023-12-19,ORD87042,P1003,Tablet,CUST4244,1933.86,5,Expedited,Shipped
05-08-2021,ORD13410,P1006,Gaming Console,CUST9797,434.74,2,Expedited,Delivered
10/17/2022,ORD44413,P1004,Smartwatch,CUST9668,1124.12,4,Standard,Delivered
11-09-2021,ORD98014,P1008,Bluetooth Speaker,CUST3952,1446.64,3,Expedited,Cancelled
2022-08-31,ORD75104,P1002,Laptop,CUST4313,333.31,4,Expedited,Cancelled
2022-01-16,ORD20303,P1008,Bluetooth Speaker,CUST1745,907.12,5,Expedited,Cancelled
02-06-2021,ORD16322,P1009,External Hard Drive,CUST8894,518.32,1,Standard,Delivered
2021-06-23,ORD53992,P1008,Bluetooth Speaker,CUST1519,158.14,3,Expedited,Cancelled
11/26/2020,ORD70991,P1008,Bluetooth Speaker,CUST1377,936.83,3,Expedited,Pending
11/25/2023,ORD65377,P1006,Gaming Console,CUST4470,1756.0,2,Standard,Pending
12/25/2020,ORD50279,P1002,Laptop,CUST7136,289.47,1,Standard,Pending
01/25/2024,ORD23600,P1006,Gaming Console,CUST3780,1371.51,3,Overnight,Cancelled
2021-08-21,ORD58237,P1009,External Hard Drive,CUST2757,254.19,2,Standard,Cancelled
03/23/2024,ORD26480,P1008,Bluetooth Speaker,CUST4636,145.09,1,Expedited,Pending
01/28/2020,ORD95212,P1001,Smartphone,CUST5930,692.38,1,Standard,Shipped
2021-10-24,ORD33750,P1008,Bluetooth Speaker,CUST5017,1944.4,4,Expedited,Cancelled
06/04/2023,ORD94150,P1009,External Hard Drive,CUST6347,363.75,1,Standard,Pending
01/10/2021,ORD46068,P1006,Gaming Console,CUST3780,479.11,3,Standard,Shipped
2020-09-08,ORD96588,P1010,Mechanical Keyboard,CUST7816,124.45,3,Standard,Cancelled
11-24-2022,ORD50733,P1006,Gaming Console,CUST7632,1537.69,2,Standard,Cancelled
04/03/2025,ORD74261,P1007,4K TV,CUST5398,130.19,3,Standard,Shipped
09-11-2025,ORD37966,P1003,Tablet,CUST2231,374.62,2,Overnight,Pending
11-18-2021,ORD13458,P1010,Mechanical Keyboard,CUST8123,930.21,2,Expedited,Pending
01/16/2021,ORD51446,P1009,External Hard Drive,CUST7838,887.67,5,Overnight,Cancelled
09-01-2025,ORD70305,P1007,4K TV,CUST1264,1979.61,1,Overnight,Shipped
05/07/2025,ORD71555,P1004,Smartwatch,CUST6117,794.52,2,Standard,Pending
2020-11-11,ORD14631,P1009,External Hard Drive,CUST8413,736.69,1,Standard,Shipped
07-28-2024,ORD26260,P1002,Laptop,CUST9185,355.34,1,Expedited,Shipped
2020-03-02,ORD23694,P1010,Mechanical Keyboard,CUST7128,1952.72,3,Expedited,Cancelled
04-02-2024,ORD25375,P1001,Smartphone,CUST9917,1901.19,3,Expedited,Delivered
2022-09-20,ORD83547,P1008,Bluetooth Speaker,CUST6150,370.79,4,Overnight,Pending
2024-01-08,ORD40523,P1002,Laptop,CUST9799,1697.05,4,Expedited,Shipped
10-26-2020,ORD37730,P1004,Smartwatch,CUST8960,1044.73,5,Overnight,Pending
