Transaction ID,Date,Customer,Item,Amount,Currency,Transaction Type,Payment Method,Status
cc03cc95-ed31-4f05-8fd8-95a458a2ff00,2024-03-26,Customer 55,Item 31,1005.16,AUD,Invoice,Check,Paid
312cfcb3-fecb-4682-87b9-f6f0afd62213,2023-12-16,Customer 82,Item 50,2920.24,AUD,Invoice,Check,Paid
befd66bc-4234-494b-a5e9-94557dece2a7,2024-01-24,Customer 48,Item 34,2641.0,EUR,Refund,PayPal,Refunded
dc7479c4-1ff6-43d9-bb66-bcbb1199e7aa,2024-07-01,Customer 97,Item 24,4782.35,AUD,Invoice,Check,Paid
307790f8-a342-41d5-891c-23d994396879,2024-04-14,Customer 96,Item 38,575.18,CAD,Invoice,PayPal,Paid
b75651a3-79ec-4262-9f6f-ed6eb961a586,2024-10-30,Customer 78,Item 20,4313.13,EUR,Invoice,Bank Transfer,Paid
8b3d94c9-b108-4c57-ace2-331e229e4361,2024-04-30,Customer 78,Item 2,2284.25,GBP,Credit Memo,Bank Transfer,Cancelled
f876929a-77a5-479b-af0a-35d6e6f4aee5,2023-07-02,Customer 93,Item 45,1227.05,USD,Credit Memo,Check,Pending
a197324f-ba7e-44a4-b64b-44774fe18144,2023-12-24,Customer 47,Item 47,3065.25,GBP,Credit Memo,Credit Card,Cancelled
308537aa-6b37-4f9f-ab0f-de8c201f2124,2023-01-13,Customer 84,Item 16,524.58,AUD,Credit Memo,PayPal,Paid
e2f62bf0-753b-4283-8d75-be9c32e72fd6,2023-01-23,Customer 63,Item 38,873.07,AUD,Invoice,Credit Card,Paid
b068e5d7-d855-4fb9-9e56-9b04fa1d8ef3,2024-03-23,Customer 85,Item 39,4233.01,AUD,Refund,Bank Transfer,Refunded
21124f5e-1a33-40f9-b45b-df610c4c2a6a,2023-10-19,Customer 98,Item 48,983.88,USD,Invoice,Bank Transfer,Paid
239cd626-6355-47be-a78a-fd512e939539,2024-05-04,Customer 7,Item 12,4053.6,CAD,Credit Memo,PayPal,Cancelled
3a50cd78-581e-4ec7-beda-e9d72182213d,2023-11-16,Customer 81,Item 46,80.58,EUR,Invoice,Bank Transfer,Paid
dde2a87c-699a-4624-8bd8-11df02601f63,2023-08-13,Customer 27,Item 20,2763.57,AUD,Invoice,PayPal,Paid
120f9843-16b4-4f41-8cc5-bc039cd03e47,2024-04-26,Customer 45,Item 9,4520.25,AUD,Credit Memo,PayPal,Cancelled
557c06ed-f9c4-4714-a9c2-cc89e9ed34a9,2024-01-22,Customer 99,Item 1,3226.79,USD,Invoice,Credit Card,Paid
ec655532-f331-4c64-bd97-9ad0921eeaaa,2023-02-21,Customer 57,Item 42,1383.91,EUR,Invoice,PayPal,Paid
ef566722-13ca-4197-967e-8b2f2a35551c,2024-12-21,Customer 50,Item 34,2914.82,GBP,Invoice,Check,Paid
3853b43c-00dd-43dd-ae99-e2a34694f105,2023-12-17,Customer 74,Item 26,699.04,EUR,Invoice,Bank Transfer,Paid
e734a58d-b363-49bd-bc52-89337b4d22f1,2023-08-09,Customer 22,Item 33,4287.4,GBP,Invoice,Check,Paid
8ca46377-f60e-41e2-905c-f86b1ef4df48,2024-11-16,Customer 48,Item 49,893.5,USD,Credit Memo,Check,Pending
71cb16a7-a1af-4f47-83e7-206ee7de0f7a,2024-03-28,Customer 10,Item 6,2853.17,CAD,Invoice,Bank Transfer,Paid
dcf15219-7638-4f07-9143-05a8dfb48f43,2024-04-14,Customer 75,Item 36,4163.29,AUD,Invoice,Bank Transfer,Paid
128b9ebf-073f-4b4d-87a2-a9b2b16c9185,2024-06-01,Customer 58,Item 28,4525.36,EUR,Invoice,Credit Card,Paid
34958043-f63d-4e85-89e1-e5e777792200,2024-12-05,Customer 68,Item 37,2519.7,CAD,Credit Memo,PayPal,Paid
e476f076-5cf1-4fed-8ff2-1e701da31555,2023-07-02,Customer 76,Item 22,72.07,AUD,Invoice,Bank Transfer,Paid
