Customer Name,Invoice Number,Invoice Date,Due Date,Amount Owed ($),Payment Status,Days Past Due
Customer 13,INV1000,2024-12-06,2025-01-05,21268.08,Overdue,29
Customer 3,INV1001,2024-12-10,2025-02-08,27041.27,Overdue,-5
Customer 12,INV1002,2024-12-05,2025-01-04,2050.35,Paid,0
Customer 5,INV1003,2024-12-06,2025-01-20,12213.35,Overdue,14
Customer 17,INV1004,2024-12-02,2025-01-31,45399.15,Paid,0
Customer 8,INV1005,2024-12-25,2025-01-24,30670.26,Paid,0
Customer 1,INV1006,2024-12-02,2025-01-16,16952.38,Overdue,18
Customer 13,INV1007,2024-12-13,2025-02-11,2099.69,Overdue,-8
Customer 20,INV1008,2024-12-23,2025-02-21,8338.99,Paid,0
Customer 14,INV1009,2024-12-13,2025-01-12,17904.46,Overdue,22
Customer 9,INV1010,2024-12-05,2025-01-04,32030.02,Overdue,30
Customer 2,INV1011,2024-12-10,2025-01-24,3494.14,Overdue,10
Customer 9,INV1012,2024-12-28,2025-02-26,17994.25,Paid,0
Customer 2,INV1013,2024-12-09,2025-02-07,4214.66,Overdue,-4
Customer 2,INV1014,2024-12-13,2025-01-27,26393.39,Paid,0
Customer 11,INV1015,2024-12-20,2025-01-19,1521.49,Overdue,15
Customer 7,INV1016,2024-12-15,2025-01-29,26126.4,Paid,0
Customer 19,INV1017,2024-12-28,2025-02-26,9402.69,Overdue,-23
Customer 14,INV1018,2024-12-19,2025-01-18,10957.86,Overdue,16
Customer 14,INV1019,2024-12-09,2025-02-07,27286.44,Overdue,-4
Customer 13,INV1020,2024-12-25,2025-01-24,37060.94,Overdue,10
Customer 20,INV1021,2024-12-01,2025-01-15,35494.52,Paid,0
Customer 6,INV1022,2024-12-23,2025-01-22,46441.78,Paid,0
Customer 2,INV1023,2024-12-19,2025-02-02,38395.56,Overdue,1
Customer 15,INV1024,2024-12-16,2025-01-30,49779.64,Overdue,4
Customer 13,INV1025,2024-12-22,2025-02-20,48553.38,Overdue,-17
Customer 10,INV1026,2024-12-17,2025-01-31,31859.66,Overdue,3
Customer 2,INV1027,2024-12-08,2025-01-22,15391.24,Paid,0
Customer 4,INV1028,2024-12-04,2025-01-03,32893.31,Overdue,31
Customer 4,INV1029,2024-12-21,2025-02-19,4825.34,Overdue,-16
Customer 10,INV1030,2024-12-25,2025-01-24,23021.01,Overdue,10
Customer 17,INV1031,2024-12-25,2025-01-24,25153.24,Paid,0
Customer 18,INV1032,2024-12-19,2025-01-18,48992.92,Paid,0
Customer 6,INV1033,2024-12-27,2025-01-26,16067.8,Paid,0
Customer 20,INV1034,2024-12-24,2025-02-07,37936.45,Paid,0
Customer 1,INV1035,2024-12-17,2025-02-15,14959.75,Paid,0
Customer 14,INV1036,2024-12-09,2025-02-07,35986.85,Paid,0
Customer 20,INV1037,2024-12-11,2025-02-09,19305.87,Overdue,-6
Customer 13,INV1038,2024-12-02,2025-01-01,22883.38,Overdue,33
Customer 6,INV1039,2024-12-09,2025-02-07,1597.83,Paid,0
