Invoice Number,Customer Name,Invoice Date,Due Date,Amount Owed ($),Payment Status
INV1000,Customer 13,2024-06-13,2024-07-13,21268.08,Overdue
INV1001,Customer 3,2024-06-25,2024-08-09,27041.27,Overdue
INV1002,Customer 12,2024-06-28,2024-07-28,2050.35,Paid
INV1003,Customer 5,2024-06-18,2024-07-18,12213.35,Overdue
INV1004,Customer 17,2024-06-20,2024-08-19,45399.15,Paid
INV1005,Customer 8,2024-06-06,2024-07-06,30670.26,Paid
INV1006,Customer 1,2024-06-05,2024-07-05,16952.38,Overdue
INV1007,Customer 13,2024-06-22,2024-08-21,2099.69,Overdue
INV1008,Customer 20,2024-06-23,2024-07-23,8338.99,Paid
INV1009,Customer 14,2024-06-22,2024-08-06,17904.46,Overdue
INV1010,Customer 9,2024-06-14,2024-07-29,32030.02,Overdue
INV1011,Customer 2,2024-06-24,2024-07-24,3494.14,Overdue
INV1012,Customer 9,2024-06-19,2024-08-18,17994.25,Paid
INV1013,Customer 2,2024-06-03,2024-07-03,4214.66,Overdue
INV1014,Customer 2,2024-06-27,2024-07-27,26393.39,Paid
INV1015,Customer 11,2024-06-12,2024-08-11,1521.49,Overdue
INV1016,Customer 7,2024-06-14,2024-07-29,26126.4,Paid
INV1017,Customer 19,2024-06-11,2024-07-11,9402.69,Overdue
INV1018,Customer 14,2024-06-14,2024-07-29,10957.86,Overdue
INV1019,Customer 14,2024-06-07,2024-07-22,27286.44,Overdue
INV1020,Customer 13,2024-06-24,2024-08-08,37060.94,Overdue
INV1021,Customer 20,2024-06-24,2024-08-08,35494.52,Paid
INV1022,Customer 6,2024-06-07,2024-07-22,46441.78,Paid
INV1023,Customer 2,2024-06-06,2024-08-05,38395.56,Overdue
INV1024,Customer 15,2024-06-06,2024-08-05,49779.64,Overdue
INV1025,Customer 13,2024-06-21,2024-08-05,48553.38,Overdue
INV1026,Customer 10,2024-06-11,2024-07-11,31859.66,Overdue
INV1027,Customer 2,2024-06-27,2024-08-26,15391.24,Paid
INV1028,Customer 4,2024-06-07,2024-07-07,32893.31,Overdue
INV1029,Customer 4,2024-06-21,2024-07-21,4825.34,Overdue
INV1030,Customer 10,2024-06-02,2024-08-01,23021.01,Overdue
INV1031,Customer 17,2024-06-19,2024-07-19,25153.24,Paid
INV1032,Customer 18,2024-06-20,2024-08-19,48992.92,Paid
INV1033,Customer 6,2024-06-19,2024-07-19,16067.8,Paid
INV1034,Customer 20,2024-06-09,2024-07-24,37936.45,Paid
INV1035,Customer 1,2024-06-27,2024-08-26,14959.75,Paid
INV1036,Customer 14,2024-06-20,2024-08-19,35986.85,Paid
INV1037,Customer 20,2024-06-14,2024-07-29,19305.87,Overdue
INV1038,Customer 13,2024-06-15,2024-08-14,22883.38,Overdue
INV1039,Customer 6,2024-06-09,2024-08-08,1597.83,Paid
INV1040,Customer 13,2024-06-01,2024-07-01,47024.61,Overdue
INV1041,Customer 7,2024-06-27,2024-08-26,8933.35,Overdue
INV1042,Customer 18,2024-06-02,2024-08-01,26003.37,Overdue
INV1043,Customer 11,2024-06-07,2024-08-06,20230.45,Overdue
INV1044,Customer 15,2024-06-21,2024-08-05,6288.54,Overdue
INV1045,Customer 4,2024-06-12,2024-07-27,12755.32,Overdue
INV1046,Customer 8,2024-06-02,2024-07-02,43302.64,Overdue
INV1047,Customer 2,2024-06-20,2024-07-20,15695.01,Paid
INV1048,Customer 15,2024-06-22,2024-07-22,38803.84,Paid
INV1049,Customer 13,2024-06-03,2024-07-03,33532.98,Overdue
