Invoice Number,Customer Name,Invoice Date,Due Date,Amount Owed ($),Payment Status
INV1000,Customer 13,2024-05-28,2024-06-27,21268.08,Overdue
INV1001,Customer 3,2024-05-12,2024-07-11,27041.27,Overdue
INV1002,Customer 12,2024-05-20,2024-07-19,2050.35,Paid
INV1003,Customer 5,2024-05-22,2024-07-21,12213.35,Overdue
INV1004,Customer 17,2024-05-28,2024-07-27,45399.15,Paid
INV1005,Customer 8,2024-05-21,2024-07-05,30670.26,Paid
INV1006,Customer 1,2024-05-22,2024-06-21,16952.38,Overdue
INV1007,Customer 13,2024-05-06,2024-06-20,2099.69,Overdue
INV1008,Customer 20,2024-05-05,2024-06-19,8338.99,Paid
INV1009,Customer 14,2024-05-01,2024-05-31,17904.46,Overdue
INV1010,Customer 9,2024-05-21,2024-07-05,32030.02,Overdue
INV1011,Customer 2,2024-05-25,2024-07-09,3494.14,Overdue
INV1012,Customer 9,2024-05-12,2024-06-26,17994.25,Paid
INV1013,Customer 2,2024-05-27,2024-07-11,4214.66,Overdue
INV1014,Customer 2,2024-05-22,2024-06-21,26393.39,Paid
INV1015,Customer 11,2024-05-07,2024-07-06,1521.49,Overdue
INV1016,Customer 7,2024-05-13,2024-06-12,26126.4,Paid
INV1017,Customer 19,2024-05-06,2024-06-20,9402.69,Overdue
INV1018,Customer 14,2024-05-04,2024-07-03,10957.86,Overdue
INV1019,Customer 14,2024-05-23,2024-06-22,27286.44,Overdue
INV1020,Customer 13,2024-05-22,2024-06-21,37060.94,Overdue
INV1021,Customer 20,2024-05-12,2024-06-26,35494.52,Paid
INV1022,Customer 6,2024-05-11,2024-06-10,46441.78,Paid
INV1023,Customer 2,2024-05-01,2024-06-15,38395.56,Overdue
INV1024,Customer 15,2024-05-16,2024-06-30,49779.64,Overdue
INV1025,Customer 13,2024-05-19,2024-07-18,48553.38,Overdue
INV1026,Customer 10,2024-05-12,2024-06-26,31859.66,Overdue
INV1027,Customer 2,2024-05-07,2024-06-06,15391.24,Paid
INV1028,Customer 4,2024-05-23,2024-07-22,32893.31,Overdue
INV1029,Customer 4,2024-05-24,2024-06-23,4825.34,Overdue
