Invoice Number,Customer Name,Invoice Date,Due Date,Amount Owed ($),Payment Status
INV1000,Customer 13,2024-10-21,2024-12-05,21268.08,Overdue
INV1001,Customer 3,2024-10-13,2024-11-12,27041.27,Overdue
INV1002,Customer 12,2024-10-20,2024-12-04,2050.35,Paid
INV1003,Customer 5,2024-10-16,2024-11-30,12213.35,Overdue
INV1004,Customer 17,2024-10-03,2024-11-17,45399.15,Paid
INV1005,Customer 8,2024-10-07,2024-11-21,30670.26,Paid
INV1006,Customer 1,2024-10-11,2024-11-10,16952.38,Overdue
INV1007,Customer 13,2024-10-19,2024-12-18,2099.69,Overdue
INV1008,Customer 20,2024-10-24,2024-12-08,8338.99,Paid
INV1009,Customer 14,2024-10-16,2024-11-15,17904.46,Overdue
INV1010,Customer 9,2024-10-01,2024-11-15,32030.02,Overdue
INV1011,Customer 2,2024-10-01,2024-11-30,3494.14,Overdue
INV1012,Customer 9,2024-10-24,2024-12-08,17994.25,Paid
INV1013,Customer 2,2024-10-21,2024-12-05,4214.66,Overdue
INV1014,Customer 2,2024-10-24,2024-11-23,26393.39,Paid
INV1015,Customer 11,2024-10-17,2024-11-16,1521.49,Overdue
INV1016,Customer 7,2024-10-28,2024-12-12,26126.4,Paid
INV1017,Customer 19,2024-10-25,2024-11-24,9402.69,Overdue
INV1018,Customer 14,2024-10-24,2024-12-08,10957.86,Overdue
INV1019,Customer 14,2024-10-16,2024-11-15,27286.44,Overdue
INV1020,Customer 13,2024-10-17,2024-12-16,37060.94,Overdue
INV1021,Customer 20,2024-10-08,2024-11-22,35494.52,Paid
INV1022,Customer 6,2024-10-19,2024-12-03,46441.78,Paid
INV1023,Customer 2,2024-10-25,2024-12-09,38395.56,Overdue
INV1024,Customer 15,2024-10-18,2024-12-02,49779.64,Overdue
INV1025,Customer 13,2024-10-07,2024-12-06,48553.38,Overdue
INV1026,Customer 10,2024-10-15,2024-11-29,31859.66,Overdue
INV1027,Customer 2,2024-10-15,2024-11-29,15391.24,Paid
INV1028,Customer 4,2024-10-20,2024-12-04,32893.31,Overdue
INV1029,Customer 4,2024-10-02,2024-12-01,4825.34,Overdue
INV1030,Customer 10,2024-10-18,2024-12-17,23021.01,Overdue
INV1031,Customer 17,2024-10-19,2024-12-03,25153.24,Paid
INV1032,Customer 18,2024-10-28,2024-12-12,48992.92,Paid
INV1033,Customer 6,2024-10-11,2024-11-25,16067.8,Paid
INV1034,Customer 20,2024-10-05,2024-11-19,37936.45,Paid
INV1035,Customer 1,2024-10-28,2024-12-27,14959.75,Paid
INV1036,Customer 14,2024-10-27,2024-12-26,35986.85,Paid
INV1037,Customer 20,2024-10-09,2024-11-23,19305.87,Overdue
INV1038,Customer 13,2024-10-18,2024-11-17,22883.38,Overdue
INV1039,Customer 6,2024-10-25,2024-12-24,1597.83,Paid
INV1040,Customer 13,2024-10-02,2024-11-01,47024.61,Overdue
INV1041,Customer 7,2024-10-08,2024-11-07,8933.35,Overdue
INV1042,Customer 18,2024-10-12,2024-11-26,26003.37,Overdue
INV1043,Customer 11,2024-10-11,2024-12-10,20230.45,Overdue
INV1044,Customer 15,2024-10-18,2024-12-17,6288.54,Overdue
INV1045,Customer 4,2024-10-14,2024-11-28,12755.32,Overdue
INV1046,Customer 8,2024-10-08,2024-11-07,43302.64,Overdue
INV1047,Customer 2,2024-10-08,2024-11-07,15695.01,Paid
INV1048,Customer 15,2024-10-03,2024-11-02,38803.84,Paid
INV1049,Customer 13,2024-10-24,2024-11-23,33532.98,Overdue
INV1050,Customer 15,2024-10-23,2024-11-22,7483.12,Overdue
INV1051,Customer 10,2024-10-12,2024-12-11,13841.37,Overdue
INV1052,Customer 19,2024-10-21,2024-12-05,14017.27,Overdue
INV1053,Customer 20,2024-10-10,2024-11-24,8915.2,Paid
INV1054,Customer 17,2024-10-06,2024-11-05,24491.55,Paid
INV1055,Customer 14,2024-10-06,2024-11-20,45400.53,Paid
INV1056,Customer 3,2024-10-19,2024-12-18,26864.82,Overdue
INV1057,Customer 2,2024-10-21,2024-12-20,12398.84,Overdue
INV1058,Customer 14,2024-10-16,2024-11-30,21880.26,Overdue
INV1059,Customer 17,2024-10-12,2024-12-11,3411.63,Paid
INV1060,Customer 14,2024-10-15,2024-11-29,30011.27,Overdue
INV1061,Customer 16,2024-10-26,2024-11-25,13188.44,Overdue
INV1062,Customer 15,2024-10-11,2024-12-10,2792.04,Overdue
INV1063,Customer 13,2024-10-03,2024-11-02,34288.47,Overdue
INV1064,Customer 5,2024-10-02,2024-11-01,39335.66,Overdue
INV1065,Customer 1,2024-10-14,2024-11-28,22531.73,Paid
INV1066,Customer 17,2024-10-20,2024-12-19,29721.17,Overdue
INV1067,Customer 14,2024-10-12,2024-11-26,6520.73,Paid
INV1068,Customer 14,2024-10-18,2024-12-02,31715.13,Paid
INV1069,Customer 1,2024-10-04,2024-12-03,5038.87,Unpaid
INV1070,Customer 4,2024-10-26,2024-11-25,3226.76,Overdue
INV1071,Customer 12,2024-10-20,2024-12-04,25598.98,Overdue
INV1072,Customer 5,2024-10-03,2024-11-02,40896.23,Overdue
INV1073,Customer 13,2024-10-17,2024-12-16,42620.44,Overdue
INV1074,Customer 18,2024-10-25,2024-12-09,44791.13,Paid
INV1075,Customer 2,2024-10-18,2024-12-02,31371.5,Paid
INV1076,Customer 18,2024-10-12,2024-12-11,16835.73,Paid
INV1077,Customer 19,2024-10-17,2024-12-01,14814.96,Unpaid
INV1078,Customer 6,2024-10-27,2024-12-11,49269.7,Paid
INV1079,Customer 11,2024-10-04,2024-11-03,500.98,Overdue
INV1080,Customer 8,2024-10-09,2024-11-08,13473.56,Overdue
INV1081,Customer 9,2024-10-27,2024-11-26,25719.69,Overdue
INV1082,Customer 16,2024-10-04,2024-11-03,26325.21,Overdue
