"Product ID","Product Name","Category","Brand","Unit Size","Price","Stock Quantity","Reorder Level","Location","Organic","Discount Available","Supplier","Expiration Date","Shelf Life (days)","Popularity Score","Seasonal Item","Online Availability","Weight (grams)","Dimensions (cm)","Barcode","Origin Country","Allergens","Rating","Reviews Count","Promotional Price"
125139,"Cookies","Dairy","BrandB","1L",32.07,389,38,"Aisle 3","No","Yes","Supplier5","2024-04-20",226,3.03,"Yes","Yes",4416,"35x39x16",475107707079,"Canada","Soy",2.5,589,27.83
915186,"Frozen Pizza","Pantry","BrandC","250ml",49.34,199,83,"Aisle 1","No","Yes","Supplier11","2024-09-20",263,4.24,"Yes","No",1484,"47x39x19",307954600571,"USA","Soy",3.2,992,37.57
170595,"Laundry Detergent","Produce","BrandA","12-pack",12.82,220,76,"Produce Section","No","Yes","Supplier5","2024-05-24",115,3.25,"Yes","No",3194,"12x42x20",796091633139,"India","None",4.7,223,12.02
153153,"Tea","Beverages","BrandC","1kg",16.65,13,97,"Freezer","Yes","Yes","Supplier6","2024-09-02",282,3.23,"No","Yes",4907,"28x24x7",582991963695,"China","Dairy",1.9,775,12.6
337695,"Croissant","Bakery","BrandD","6-pack",36.56,265,62,"Refrigerated","Yes","Yes","Supplier20","2024-02-17",9,3.61,"No","Yes",1733,"37x30x18",891446014699,"Canada","Nuts",3.9,226,30.77
726903,"Croissant","Beverages","BrandD","2L",28.29,106,35,"Refrigerated","No","Yes","Supplier18","2024-05-03",39,4.01,"Yes","No",4120,"27x30x6",328574265685,"Mexico","None",4.2,114,23.95
645598,"Shrimp","Meat","BrandA","6-pack",19.97,366,57,"Aisle 3","Yes","Yes","Supplier11","2024-08-23",262,2.74,"Yes","No",121,"22x50x8",830249604052,"China","None",2.3,978,14.0
411269,"Bread","Household","BrandD","500g",12.13,61,56,"Aisle 3","No","No","Supplier6","2024-10-22",259,2.82,"No","Yes",3969,"40x27x12",998396166818,"USA","Soy",5.0,887,8.61
665482,"Tea","Produce","BrandC","1L",24.62,273,29,"Aisle 2","No","No","Supplier4","2024-09-13",197,3.65,"Yes","Yes",4282,"32x26x17",986607199079,"Mexico","Soy",3.0,947,18.42
709961,"Laundry Detergent","Bakery","BrandA","6-pack",12.05,36,40,"Produce Section","No","No","Supplier14","2024-09-06",120,1.38,"No","Yes",1624,"32x21x8",746642376231,"USA","Nuts",4.9,555,8.71
